번호,명칭,상세,지정번호,지정구분,분류,수량,면적,소유자,소재지,지정일,,,,
45,해남고산유고 목판일괄,,219,도,유형문화재,3종 305점,,윤형식,전라남도 해남군 해남읍 녹우당길 135,1999-07-05,,,,
46,해남 대흥사 대웅보전,,296,도,유형문화재,1동,,대흥사,전라남도 해남군 삼산면 대흥사길 400,2008-09-19,,,,
47,해남 약수사 불교전적,,322,도,유형문화재,7권,,약수사,전라남도 해남군 해남읍 원정동길 19-4,2015-08-06,,,,
48,해남 미황사 대웅전 목조석가여래 삼불좌상,,323,도,유형문화재,3구,,미황사,전라남도 해남군 송지면 미황사길 164,2015-08-06,,,,
49,해남 미황사 명부전 지장보살삼존상 및 사황상 일괄,,324,도,유형문화재,36구,,미황사,전라남도 해남군 송지면 미황사길 164,2015-08-06,,,,
50,해남 미황사 웅진당 목조석가여래 삼존상 및 나한상 일괄,,325,도,유형문화재,26구,,미황사,전라남도 해남군 송지면 미황사길 164,2015-08-06,,,,
51,해남 도장사 목조석가여래좌상 및 보살좌상과 복장,,343,도,유형문화재,10점,,도장사,전라남도 해남군 황산면 내산길 143,2020-12-24,,,,
52,해남 태영사 석조석가삼불좌상,,354,도,유형문화재,3구,,태영사,전라남도 해남군 북평면 천태산길 191,2022-03-17,,,,
53,우수영 부녀농요,,20,도,무형문화재,예능,,이인자,전라남도 해남군 문내면 동헌길 19-1,1987-08-25,,,,
54,해남 진양주,,25,도,무형문화재,민속주,,최옥림,전라남도 해남군 계곡면 덕정길 11,1994-01-31,,,,
55,해남 씻김굿,,62,도,무형문화재,예능,,이수자,전라남도 해남군 황산면 시등로,2021-12-30,,,,
56,표충사,,19,도,기념물,일원,,대흥사,전라남도 해남군 삼산면 대흥사길 400,1976-09-30,,,,
57,정운 충신각,,76,도,기념물,일곽,6040,사유,전라남도 해남군 옥천면 대산리 산54,1985-02-15,,,,
58,해남 방산리 장고봉 고분,,85,도,기념물,1기,3821,국,전라남도 해남군 북일면 방산리 721,1986-02-07,,,,
59,해남 월송리 조산고분,,86,도,기념물,1기,354,국,전라남도 해남군 현산명 월송리 378-1,1986-02-17,,,,
60,해남 신월리 방대형 고분,,102,도,기념물,1기,5293,국,전라남도 해남군 북일면 신월리 295-1,1987-01-15,,,,
61,해남 방축리 지석묘군,,115,도,기념물,53기,4496,국,전라남도 해남군 화산면 방축리 702,1987-09-18,,,,
62,이진성지,높이 910m,120,도,기념물,,30760,국,전라남도 해남군 북평면 이진리 1227,1988-12-21,,,,
63,해남 용두리 고분,,121,도,기념물,일원,3346,국,전라남도 해남군 삼산면 창리 578,1988-12-21,,,,
64,해남 맹진리 암각매향비,,137,도,기념물,1기,9741,국,전라남도 해남군 마산면 맹진리 산96,1988-12-21,,,,
65,해남 송호리 해송림,,142,도,기념물,,16474,해남군,전라남도 해남군 송지면 송호리 산9,1992-03-09,,,,
66,해남 연정리 지석묘군,,165,도,기념물,48기,2052,국,전라남도 해남군 화산면 연정리 73-1,1997-05-15,,,,
67,해남 화원면 청자요지,소재지 외 전라남도 해남군 화원면 금평리 428-1외 일원,220,도,기념물,94필지,55178,국,전라남도 해남군 화원면 신덕리 산102,2004-02-13,,,,
68,서동사 동백나무 비자나무숲,,245,도,기념물,1필지,4906,서동사,전라남도 해남군 화원면 금평리 산45,2011-08-26,,,,
69,해남 옥천 만의총 고분군,,248,도,기념물,3기,2488,국,전라남도 해남군 옥천면 성산리 500-1,2015-04-23,,,,
70,해남 정명식 가옥,,8,도,민속자료,일곽,3550,정명식,전라남도 해남군 황산면 우항길 127-1,1986-02-07,,,,
71,해남향교 대성전,,77,도,문화재자료,1동,7144,해남군향교,전라남도 해남군 해남읍 향교길 20,1984-02-29,,,,
72,영산사 소장문서 일괄,,159,도,문화재자료,,1417,사유,전라남도 해남군 마산면 화내리 421-1,1988-03-16,,,,
73,서동사 대웅전,,174,도,문화재자료,1동,486,서동사,전라남도 해남군 화원면 절골길 244,1990-02-24,,,,
74,해남 민정기 가옥,,186,도,문화재자료,일곽,3498,사유,전라남도 해남군 해남읍 백야길 46,1992-03-09,,,,
75,해남 방춘정,,209,도,문화재자료,일곽,1058,사유,전라남도 해남군 계곡면 방춘리 443-1,1999-11-20,,,,
76,해남 용일리 용운고분군,,232,도,문화재자료,2기,11204,사유,전라남도 해남군 북일면 용일리 1008-1,2001-09-27,,,,
77,해남 방산리 독수리봉고분군,,233,도,문화재자료,2기,45223,사유,전라남도 해남군 북일면 방산리 산67,2001-09-27,,,,
78,해남 내동리 밭섬고분군,,234,도,문화재자료,2기,15200,사유,전라남도 해남군 북일면 내동리 산4,2001-09-27,,,,
79,해남대흥사 북미륵암동삼층석탑,,245,도,문화재자료,1기,,대흥사,전라남도 해남군 삼산면 구림리 산9,2004-02-13,,,,
80,해남대흥사 만일암지오층석탑,,246,도,문화재자료,1기,,대흥사,전라남도 해남군 삼산면 구림리 산9,2004-02-13,,,,
81,해남 노송사 소장 고문서,,282,도,문화재자료,286점,,노송사,전라남도 해남군 산이면 업자길 18-26,2017-02-27,,,,
82,이유길유허비,금석문,1,군,향토문화유산,1곽,,사유,전라남도 해남군 삼산면 충리 366-7,2000-10-13,,,,
83,여흥민씨부조묘,사당,2,군,향토문화유산,1곽,,사유,전라남도 해남군 마산면 장촌리 415,2000-10-15,,,,
84,단군영당유허비,금석문,3,군,향토문화유산,1곽,,사유,전라남도 해남군 화산면 금풍리 431-1,2000-10-15,,,,
85,해남옥녀봉토성,토성,4,군,향토문화유산,일원,22596,사유,전라남도 해남군 삼산면 창리 46-1,2001-11-15,,,,
86,현산두모리패총,패총,5,군,향토문화유산,일원,20000,사유,전라남도 해남군 현산면 백포리 산63-1,2001-11-07,,,,
87,황산면 도창사 본존불,불상(목조),7,군,향토문화유산,1기,,사유,전라남도 해남군 황산면 관춘리 780,2002-11-07,,,,
88,황산면 연당리 미륵불,미륵불상(석조),8,군,향토문화유산,1기,,사유,전라남도 해남군 황산면 연당리 635-5,2002-11-07,,,,
89,연동리 윤재운고택,가옥,9,군,향토문화유산,1곽,1302,사유,전라남도 해남군 해남읍 연동리 105,2003-11-24,,,,
90,덕송리 황조별묘,별묘(사당),10,군,향토문화유산,,165,사유,전라남도 해남군 산이면 덕송리 378-1,2003-11-24,,,,
91,송천리 미륵불,미륵불상(석조),11,군,향토문화유산,,200,사유,전라남도 해남군 산이면 송천리 152-5,2003-11-24,,,,
